"ID","name","level0","level1","level2","level23","level3","zoning"
"DE143","Zollernalbkreis",0,0,0,0,1,"UE27"
"DE144","Ulm, Stadtkreis",0,0,0,0,1,"UE27"
"DE145","Alb-Donau-Kreis",0,0,0,0,1,"UE27"
"DE146","Biberach",0,0,0,0,1,"UE27"
"DE147","Bodenseekreis",0,0,0,0,1,"UE27"
"DE148","Ravensburg",0,0,0,0,1,"UE27"
"DE149","Sigmaringen",0,0,0,0,1,"UE27"
"DE211","Ingolstadt, Kreisfreie Stadt",0,0,0,0,1,"UE27"
"DE212","München, Kreisfreie Stadt",0,0,0,0,1,"UE27"
"DE213","Rosenheim, Kreisfreie Stadt",0,0,0,0,1,"UE27"
"DE214","Altötting",0,0,0,0,1,"UE27"
"DE215","Berchtesgadener Land",0,0,0,0,1,"UE27"
"DE216","Bad Tölz-Wolfratshausen",0,0,0,0,1,"UE27"
"DE217","Dachau",0,0,0,0,1,"UE27"
"DE218","Ebersberg",0,0,0,0,1,"UE27"
"DE219","Eichstätt",0,0,0,0,1,"UE27"
"DE21A","Erding",0,0,0,0,1,"UE27"
"DE21B","Freising",0,0,0,0,1,"UE27"
"DE21C","Fürstenfeldbruck",0,0,0,0,1,"UE27"
"DE21D","Garmisch-Partenkirchen",0,0,0,0,1,"UE27"
"DE21E","Landsberg am Lech",0,0,0,0,1,"UE27"
"DE21F","Miesbach",0,0,0,0,1,"UE27"
"DE21G","Mühldorf am Inn",0,0,0,0,1,"UE27"
"DE21H","München, Landkreis",0,0,0,0,1,"UE27"
"DE21I","Neuburg-Schrobenhausen",0,0,0,0,1,"UE27"
"DE21J","Pfaffenhofen an der Ilm",0,0,0,0,1,"UE27"
"DE21K","Rosenheim, Landkreis",0,0,0,0,1,"UE27"
"DE21L","Starnberg",0,0,0,0,1,"UE27"
"DE21M","Traunstein",0,0,0,0,1,"UE27"
"DE21N","Weilheim-Schongau",0,0,0,0,1,"UE27"
"DE221","Landshut, Kreisfreie Stadt",0,0,0,0,1,"UE27"
"DE222","Passau, Kreisfreie Stadt",0,0,0,0,1,"UE27"
"DE223","Straubing, Kreisfreie Stadt",0,0,0,0,1,"UE27"
"DE224","Deggendorf",0,0,0,0,1,"UE27"
"DE225","Freyung-Grafenau",0,0,0,0,1,"UE27"
"DE226","Kelheim",0,0,0,0,1,"UE27"
"DE227","Landshut, Landkreis",0,0,0,0,1,"UE27"
"DE228","Passau, Landkreis",0,0,0,0,1,"UE27"
"DE229","Regen",0,0,0,0,1,"UE27"
"DE22A","Rottal-Inn",0,0,0,0,1,"UE27"
"DE22B","Straubing-Bogen",0,0,0,0,1,"UE27"
"DE22C","Dingolfing-Landau",0,0,0,0,1,"UE27"
"DE231","Amberg, Kreisfreie Stadt",0,0,0,0,1,"UE27"
"DE232","Regensburg, Kreisfreie Stadt",0,0,0,0,1,"UE27"
"DE233","Weiden in der Oberpfalz, Kreisfreie Stadt",0,0,0,0,1,"UE27"
"DE234","Amberg-Sulzbach",0,0,0,0,1,"UE27"
"DE235","Cham",0,0,0,0,1,"UE27"
"DE236","Neumarkt in der Oberpfalz",0,0,0,0,1,"UE27"
"DE237","Neustadt an der Waldnaab",0,0,0,0,1,"UE27"
"DE238","Regensburg, Landkreis",0,0,0,0,1,"UE27"
"DE239","Schwandorf",0,0,0,0,1,"UE27"
"DE23A","Tirschenreuth",0,0,0,0,1,"UE27"
"DE241","Bamberg, Kreisfreie Stadt",0,0,0,0,1,"UE27"
"DE242","Bayreuth, Kreisfreie Stadt",0,0,0,0,1,"UE27"
"DE243","Coburg, Kreisfreie Stadt",0,0,0,0,1,"UE27"
"DE244","Hof, Kreisfreie Stadt",0,0,0,0,1,"UE27"
"DE245","Bamberg, Landkreis",0,0,0,0,1,"UE27"
"DE246","Bayreuth, Landkreis",0,0,0,0,1,"UE27"
"DE247","Coburg, Landkreis",0,0,0,0,1,"UE27"
"DE248","Forchheim",0,0,0,0,1,"UE27"
"DE249","Hof, Landkreis",0,0,0,0,1,"UE27"
"DE24A","Kronach",0,0,0,0,1,"UE27"
"DE24B","Kulmbach",0,0,0,0,1,"UE27"
"DE24C","Lichtenfels",0,0,0,0,1,"UE27"
"DE24D","Wunsiedel im Fichtelgebirge",0,0,0,0,1,"UE27"
"DE251","Ansbach, Kreisfreie Stadt",0,0,0,0,1,"UE27"
"DE252","Erlangen, Kreisfreie Stadt",0,0,0,0,1,"UE27"
"DE253","Fürth, Kreisfreie Stadt",0,0,0,0,1,"UE27"
"DE254","Nürnberg, Kreisfreie Stadt",0,0,0,0,1,"UE27"
"DE255","Schwabach, Kreisfreie Stadt",0,0,0,0,1,"UE27"
"DE256","Ansbach, Landkreis",0,0,0,0,1,"UE27"
"DE257","Erlangen-Höchstadt",0,0,0,0,1,"UE27"
"DE258","Fürth, Landkreis",0,0,0,0,1,"UE27"
"DE259","Nuernberger Land",0,0,0,0,1,"UE27"
"DE25A","Neustadt an der Aisch-Bad Windsheim",0,0,0,0,1,"UE27"
"DE25B","Roth",0,0,0,0,1,"UE27"
"DE25C","Weißenburg-Gunzenhausen",0,0,0,0,1,"UE27"
"DE261","Aschaffenburg, Kreisfreie Stadt",0,0,0,0,1,"UE27"
"DE262","Schweinfurt, Kreisfreie Stadt",0,0,0,0,1,"UE27"
"DE263","Würzburg, Kreisfreie Stadt",0,0,0,0,1,"UE27"
"DE264","Aschaffenburg, Landkreis",0,0,0,0,1,"UE27"
"DE265","Bad Kissingen",0,0,0,0,1,"UE27"
"DE266","Rhön-Grabfeld",0,0,0,0,1,"UE27"
"DE267","Haßberge",0,0,0,0,1,"UE27"
"DE268","Kitzingen",0,0,0,0,1,"UE27"
"DE269","Miltenberg",0,0,0,0,1,"UE27"
"DE26A","Main-Spessart",0,0,0,0,1,"UE27"
"DE26B","Schweinfurt, Landkreis",0,0,0,0,1,"UE27"
"DE26C","Würzburg, Landkreis",0,0,0,0,1,"UE27"
"DE271","Augsburg, Kreisfreie Stadt",0,0,0,0,1,"UE27"
"DE272","Kaufbeuren, Kreisfreie Stadt",0,0,0,0,1,"UE27"
"DE273","Kempten (Allgäu), Kreisfreie Stadt",0,0,0,0,1,"UE27"
"DE274","Memmingen, Kreisfreie Stadt",0,0,0,0,1,"UE27"
"DE275","Aichach-Friedberg",0,0,0,0,1,"UE27"
"DE276","Augsburg, Landkreis",0,0,0,0,1,"UE27"
"DE277","Dillingen an der Donau",0,0,0,0,1,"UE27"
"DE278","Günzburg",0,0,0,0,1,"UE27"
"DE279","Neu-Ulm",0,0,0,0,1,"UE27"
"DE27A","Lindau (Bodensee)",0,0,0,0,1,"UE27"
"DE27B","Ostallgäu",0,0,0,0,1,"UE27"
"DE27C","Unterallgäu",0,0,0,0,1,"UE27"
"DE27D","Donau-Ries",0,0,0,0,1,"UE27"
"DE27E","Oberallgäu",0,0,0,0,1,"UE27"
"DE300","Berlin",0,0,0,0,1,"UE27"
"DE411","Frankfurt (Oder), Kreisfreie Stadt",0,0,0,0,1,"UE27"
"DE412","Barnim",0,0,0,0,1,"UE27"
"DE413","Märkisch-Oderland",0,0,0,0,1,"UE27"
"DE414","Oberhavel",0,0,0,0,1,"UE27"
"DE415","Oder-Spree",0,0,0,0,1,"UE27"
"DE416","Ostprignitz-Ruppin",0,0,0,0,1,"UE27"
"DE417","Prignitz",0,0,0,0,1,"UE27"
"DE418","Uckermark",0,0,0,0,1,"UE27"
"DE421","Brandenburg an der Havel, Kreisfreie Stadt",0,0,0,0,1,"UE27"
"DE422","Cottbus, Kreisfreie Stadt",0,0,0,0,1,"UE27"
"DE423","Potsdam, Kreisfreie Stadt",0,0,0,0,1,"UE27"
"DE424","Dahme-Spreewald",0,0,0,0,1,"UE27"
"DE425","Elbe-Elster",0,0,0,0,1,"UE27"
"DE426","Havelland",0,0,0,0,1,"UE27"
"DE427","Oberspreewald-Lausitz",0,0,0,0,1,"UE27"
"DE428","Potsdam-Mittelmark",0,0,0,0,1,"UE27"
"DE429","Spree-Neiße",0,0,0,0,1,"UE27"
"DE42A","Teltow-Fläming",0,0,0,0,1,"UE27"
"DE501","Bremen, Kreisfreie Stadt",0,0,0,0,1,"UE27"
"DE502","Bremerhaven, Kreisfreie Stadt",0,0,0,0,1,"UE27"
"DE600","Hamburg",0,0,0,0,1,"UE27"
"DE711","Darmstadt, Kreisfreie Stadt",0,0,0,0,1,"UE27"
"DE712","Frankfurt am Main, Kreisfreie Stadt",0,0,0,0,1,"UE27"
"DE713","Offenbach am Main, Kreisfreie Stadt",0,0,0,0,1,"UE27"
"DE714","Wiesbaden, Kreisfreie Stadt",0,0,0,0,1,"UE27"
"DE715","Bergstraße",0,0,0,0,1,"UE27"
"DE716","Darmstadt-Dieburg",0,0,0,0,1,"UE27"
"DE717","Groß-Gerau",0,0,0,0,1,"UE27"
"DE718","Hochtaunuskreis",0,0,0,0,1,"UE27"
"DE719","Main-Kinzig-Kreis",0,0,0,0,1,"UE27"
"DE71A","Main-Taunus-Kreis",0,0,0,0,1,"UE27"
"DE71B","Odenwaldkreis",0,0,0,0,1,"UE27"
"DE71C","Offenbach, Landkreis",0,0,0,0,1,"UE27"
"DE71D","Rheingau-Taunus-Kreis",0,0,0,0,1,"UE27"
"DE71E","Wetteraukreis",0,0,0,0,1,"UE27"
"DE721","Gießen, Landkreis",0,0,0,0,1,"UE27"
"DE722","Lahn-Dill-Kreis",0,0,0,0,1,"UE27"
"DE723","Limburg-Weilburg",0,0,0,0,1,"UE27"
"DE724","Marburg-Biedenkopf",0,0,0,0,1,"UE27"
"DE725","Vogelsbergkreis",0,0,0,0,1,"UE27"
"DE731","Kassel, Kreisfreie Stadt",0,0,0,0,1,"UE27"
"DE732","Fulda",0,0,0,0,1,"UE27"
"DE733","Hersfeld-Rotenburg",0,0,0,0,1,"UE27"
"DE734","Kassel, Landkreis",0,0,0,0,1,"UE27"
"DE735","Schwalm-Eder-Kreis",0,0,0,0,1,"UE27"
"DE736","Waldeck-Frankenberg",0,0,0,0,1,"UE27"
"DE737","Werra-Meißner-Kreis",0,0,0,0,1,"UE27"
"DE801","Greifswald, Kreisfreie Stadt",0,0,0,0,1,"UE27"
"DE802","Neubrandenburg, Kreisfreie Stadt",0,0,0,0,1,"UE27"
"DE803","Rostock, Kreisfreie Stadt",0,0,0,0,1,"UE27"
"DE804","Schwerin, Kreisfreie Stadt",0,0,0,0,1,"UE27"
"DE805","Stralsund, Kreisfreie Stadt",0,0,0,0,1,"UE27"
"DE806","Wismar, Kreisfreie Stadt",0,0,0,0,1,"UE27"
"DE807","Bad Doberan",0,0,0,0,1,"UE27"
"DE808","Demmin",0,0,0,0,1,"UE27"
"DE809","Güstrow",0,0,0,0,1,"UE27"
"DE80A","Ludwigslust",0,0,0,0,1,"UE27"
"DE80B","Mecklenburg-Strelitz",0,0,0,0,1,"UE27"
"DE80C","Müritz",0,0,0,0,1,"UE27"
"DE80D","Nordvorpommern",0,0,0,0,1,"UE27"
"DE80E","Nordwestmecklenburg",0,0,0,0,1,"UE27"
"DE80F","Ostvorpommern",0,0,0,0,1,"UE27"
"DE80G","Parchim",0,0,0,0,1,"UE27"
"DE80H","Rügen",0,0,0,0,1,"UE27"
"DE80I","Uecker-Randow",0,0,0,0,1,"UE27"
"DE911","Braunschweig, Kreisfreie Stadt",0,0,0,0,1,"UE27"
"DE912","Salzgitter, Kreisfreie Stadt",0,0,0,0,1,"UE27"
"DE913","Wolfsburg, Kreisfreie Stadt",0,0,0,0,1,"UE27"
"DE914","Gifhorn",0,0,0,0,1,"UE27"
"DE915","Göttingen",0,0,0,0,1,"UE27"
"DE916","Goslar",0,0,0,0,1,"UE27"
"DE917","Helmstedt",0,0,0,0,1,"UE27"
"DE918","Northeim",0,0,0,0,1,"UE27"
"DE919","Osterode am Harz",0,0,0,0,1,"UE27"
"DE91A","Peine",0,0,0,0,1,"UE27"
"DE91B","Wolfenbüttel",0,0,0,0,1,"UE27"
"DE922","Diepholz",0,0,0,0,1,"UE27"
"DE923","Hameln-Pyrmont",0,0,0,0,1,"UE27"
"DE925","Hildesheim",0,0,0,0,1,"UE27"
"DE926","Holzminden",0,0,0,0,1,"UE27"
"DE927","Nienburg (Weser)",0,0,0,0,1,"UE27"
"DE928","Schaumburg",0,0,0,0,1,"UE27"
"DE929","Region Hannover",0,0,0,0,1,"UE27"
"DE931","Celle",0,0,0,0,1,"UE27"
"DE932","Cuxhaven",0,0,0,0,1,"UE27"
"DE933","Harburg",0,0,0,0,1,"UE27"
"DE934","Lüchow-Dannenberg",0,0,0,0,1,"UE27"
"DE935","Lüneburg, Landkreis",0,0,0,0,1,"UE27"
"DE936","Osterholz",0,0,0,0,1,"UE27"
"DE937","Rotenburg (Wümme)",0,0,0,0,1,"UE27"
"DE938","Soltau-Fallingbostel",0,0,0,0,1,"UE27"
"DE939","Stade",0,0,0,0,1,"UE27"
"DE93A","Uelzen",0,0,0,0,1,"UE27"
"DE93B","Verden",0,0,0,0,1,"UE27"
"DE941","Delmenhorst, Kreisfreie Stadt",0,0,0,0,1,"UE27"
"DE942","Emden, Kreisfreie Stadt",0,0,0,0,1,"UE27"
"DE943","Oldenburg (Oldenburg), Kreisfreie Stadt",0,0,0,0,1,"UE27"
"DE944","Osnabrück, Kreisfreie Stadt",0,0,0,0,1,"UE27"
"DE945","Wilhelmshaven, Kreisfreie Stadt",0,0,0,0,1,"UE27"
"DE946","Ammerland",0,0,0,0,1,"UE27"
"DE947","Aurich",0,0,0,0,1,"UE27"
"DE948","Cloppenburg",0,0,0,0,1,"UE27"
"DE949","Emsland",0,0,0,0,1,"UE27"
"DE94A","Friesland",0,0,0,0,1,"UE27"
"DE94B","Grafschaft Bentheim",0,0,0,0,1,"UE27"
"DE94C","Leer",0,0,0,0,1,"UE27"
"DE94D","Oldenburg, Landkreis",0,0,0,0,1,"UE27"
"DE94E","Osnabrück, Landkreis",0,0,0,0,1,"UE27"
"DE94F","Vechta",0,0,0,0,1,"UE27"
"DE94G","Wesermarsch",0,0,0,0,1,"UE27"
"DE94H","Wittmund",0,0,0,0,1,"UE27"
"DEA11","Düsseldorf, Kreisfreie Stadt",0,0,0,0,1,"UE27"
"DEA12","Duisburg, Kreisfreie Stadt",0,0,0,0,1,"UE27"
"DEA13","Essen, Kreisfreie Stadt",0,0,0,0,1,"UE27"
"DEA14","Krefeld, Kreisfreie Stadt",0,0,0,0,1,"UE27"
"DEA15","Mönchengladbach, Kreisfreie Stadt",0,0,0,0,1,"UE27"
"DEA16","Mülheim an der Ruhr, Kreisfreie Stadt",0,0,0,0,1,"UE27"
"DEA17","Oberhausen, Kreisfreie Stadt",0,0,0,0,1,"UE27"
"DEA18","Remscheid, Kreisfreie Stadt",0,0,0,0,1,"UE27"
"DEA19","Solingen, Kreisfreie Stadt",0,0,0,0,1,"UE27"
"DEA1A","Wuppertal, Kreisfreie Stadt",0,0,0,0,1,"UE27"
"DEA1B","Kleve",0,0,0,0,1,"UE27"
"DEA1C","Mettmann",0,0,0,0,1,"UE27"
"DEA1D","Rhein-Kreis Neuss",0,0,0,0,1,"UE27"
"DEA1E","Viersen",0,0,0,0,1,"UE27"
"DEA1F","Wesel",0,0,0,0,1,"UE27"
