"id","NUTS","pct"
"50kmX3175Y2325","ES412","0,807999"
"50kmX3175Y2325","ES414","4,748745"
"50kmX3175Y2375","ES120","0,500101"
"50kmX3175Y2375","ES130","14,548608"
"50kmX3175Y3375","IE024","20,229477"
"50kmX3175Y3425","IE012","5,866188"
"50kmX3175Y3425","IE023","0,455342"
"50kmX3175Y3425","IE024","20,592393"
"50kmX3175Y3475","IE012","35,218431"
"50kmX3175Y3475","IE022","1,92575"
"50kmX3175Y3475","IE023","0,517086"
"50kmX3175Y3525","IE011","0,100085"
"50kmX3175Y3525","IE012","36,984389"
"50kmX3175Y3525","IE013","0,080336"
"50kmX3175Y3525","IE022","0,171488"
"50kmX3175Y3575","IE011","13,188278"
"50kmX3175Y3575","IE012","6,196966"
"50kmX3175Y3575","IE013","2,398752"
"50kmX3175Y3575","UKN05","2,117716"
"50kmX3175Y3625","IE011","10,28178"
"50kmX3175Y3625","UKN04","3,470689"
"50kmX3175Y3625","UKN05","14,248463"
"50kmX3175Y3675","IE011","18,096799"
"50kmX3175Y3675","UKN04","1,787274"
"50kmX3175Y3725","IE011","1,194331"
"50kmX3175Y4775","IS002","0,106255"
"50kmX3175Y4825","IS002","2,107366"
"50kmX3175Y4875","IS002","2,351012"
"50kmX3175Y4925","IS002","2,351012"
"50kmX3175Y4975","IS002","2,351012"
"50kmX3175Y5025","IS002","1,330183"
"50kmX3225Y1625","ES611","22,379263"
"50kmX3225Y1675","ES611","23,225913"
"50kmX3225Y1675","ES614","3,883793"
"50kmX3225Y1725","ES421","0,045958"
"50kmX3225Y1725","ES611","3,962956"
"50kmX3225Y1725","ES614","15,671879"
"50kmX3225Y1725","ES616","0,475008"
"50kmX3225Y1725","ES620","0,977319"
"50kmX3225Y1775","ES421","5,699023"
"50kmX3225Y1775","ES614","0,420695"
"50kmX3225Y1775","ES616","11,941265"
"50kmX3225Y1775","ES620","0,363884"
"50kmX3225Y1825","ES421","8,933949"
"50kmX3225Y1825","ES422","5,212163"
"50kmX3225Y1825","ES616","0,425998"
"50kmX3225Y1875","ES421","6,315787"
"50kmX3225Y1875","ES422","6,690138"
"50kmX3225Y1875","ES423","0,886997"
"50kmX3225Y1925","ES422","1,251185"
"50kmX3225Y1925","ES423","9,107524"
"50kmX3225Y1925","ES425","4,609094"
"50kmX3225Y1975","ES300","3,351093"
"50kmX3225Y1975","ES423","9,904558"
"50kmX3225Y1975","ES424","3,21988"
"50kmX3225Y1975","ES425","1,308764"
"50kmX3225Y2025","ES300","7,841191"
"50kmX3225Y2025","ES423","0,362982"
"50kmX3225Y2025","ES424","14,383935"
"50kmX3225Y2075","ES424","19,970945"
"50kmX3225Y2125","ES416","10,735116"
"50kmX3225Y2125","ES417","10,455328"
"50kmX3225Y2125","ES424","5,13235"
"50kmX3225Y2175","ES412","10,586416"
"50kmX3225Y2175","ES416","0,444443"
"50kmX3225Y2175","ES417","9,648907"
"50kmX3225Y2225","ES230","0,077029"
"50kmX3225Y2225","ES412","17,38403"
"50kmX3225Y2275","ES211","1,42664"
"50kmX3225Y2275","ES412","17,072954"
"50kmX3225Y2325","ES130","20,08011"
"50kmX3225Y2325","ES213","8,724003"
"50kmX3225Y2325","ES412","8,513612"
"50kmX3225Y2375","ES130","13,963996"
"50kmX3225Y2875","FR522","1,427314"
"50kmX3225Y2925","FR522","3,258321"
"50kmX3225Y3075","UKK30","0,129915"
"50kmX3225Y3125","UKK30","19,236113"
"50kmX3225Y3375","IE024","12,656394"
"50kmX3225Y3425","IE012","0,627715"
"50kmX3225Y3425","IE022","15,21687"
"50kmX3225Y3425","IE024","14,528425"
"50kmX3225Y3475","IE012","0,923659"
"50kmX3225Y3475","IE021","25,837483"
"50kmX3225Y3475","IE022","38,233447"
"50kmX3225Y3525","IE011","1,847939"
"50kmX3225Y3525","IE012","4,665976"
"50kmX3225Y3525","IE021","1,263678"
"50kmX3225Y3525","IE022","34,186042"
"50kmX3225Y3575","IE011","16,039097"
"50kmX3225Y3575","IE022","0,755877"
"50kmX3225Y3575","UKN05","7,440118"
"50kmX3225Y3625","IE011","0,347936"
"50kmX3225Y3625","UKN04","4,318957"
"50kmX3225Y3625","UKN05","32,253841"
"50kmX3225Y3675","IE011","10,415893"
"50kmX3225Y3675","UKN04","35,91068"
"50kmX3225Y3675","UKN05","0,033858"
"50kmX3225Y3725","IE011","4,566538"
"50kmX3225Y4825","IS002","0,593171"
"50kmX3225Y4875","IS002","1,594582"
"50kmX3225Y4925","IS002","1,63223"
"50kmX3225Y4975","IS002","1,252828"
"50kmX3225Y5025","IS002","0,021074"
"50kmX3275Y1625","ES611","5,989072"
"50kmX3275Y1675","ES611","15,993693"
"50kmX3275Y1675","ES620","7,604296"
"50kmX3275Y1725","ES611","5,905967"
"50kmX3275Y1725","ES614","0,016452"
"50kmX3275Y1725","ES620","19,021038"
